total_cost,holding_cost,expedite_cost,lost_sales_cost
84724.50138150036,84724.50138150036,0.0,0.0
89230.45237234463,89230.45237234463,0.0,0.0
164890.88104609158,100457.84876437609,0.0,64433.03228171549
480228.3742609391,138994.42281545376,305788.57452021167,35445.376925273704
89088.78913771878,89088.78913771878,0.0,0.0
106512.05627838366,106512.05627838366,0.0,0.0
387001.86404789693,116603.03692342625,270398.82712447067,0.0
106484.67537275341,106484.67537275341,0.0,0.0
784804.5835823403,190338.63398701695,538872.2866691056,55593.66292621769
100830.73938411415,100830.73938411415,0.0,0.0
90902.12358382564,90902.12358382564,0.0,0.0
72436.91782850944,72436.91782850944,0.0,0.0
456504.09725935495,152165.60509171462,248336.8837317994,56001.60843584094
80939.73919335575,80939.73919335575,0.0,0.0
110149.23662377868,110149.23662377868,0.0,0.0
77266.46001322323,77266.46001322323,0.0,0.0
808243.0921621083,180445.9690700612,556239.7445082337,71557.37858381335
288788.4021424912,120249.91072276389,0.0,168538.49141972727
77231.40624071598,77231.40624071598,0.0,0.0
130525.3418260274,80629.24413019214,0.0,49896.09769583527
386648.92468019325,131064.54125565781,255584.38342453545,0.0
177612.59896114317,99153.91499070535,0.0,78458.68397043782
97118.08597227471,97118.08597227471,0.0,0.0
380398.8483021897,142789.40609435126,237609.44220783844,0.0
412926.7880348961,131624.09031808737,281302.6977168087,0.0
337445.95346141007,102360.46896309909,235085.48449831098,0.0
147724.02193504717,147724.02193504717,0.0,0.0
181735.90406519867,112179.01095472575,0.0,69556.89311047294
99936.17978647343,99936.17978647343,0.0,0.0
467802.57266451675,155405.25502414771,312397.31764036906,0.0
325951.6261381217,108903.64664177,217047.97949635168,0.0
89304.07133953697,89304.07133953697,0.0,0.0
81649.65700777256,81649.65700777256,0.0,0.0
92271.27721425326,92271.27721425326,0.0,0.0
91149.49743007039,81339.56371803697,0.0,9809.933712033428
113267.22910834686,113267.22910834686,0.0,0.0
568164.8562631261,169913.01614138833,286294.4077190586,111957.43240267913
437441.1921632262,110671.37858271434,260787.40379000118,65982.40979051068
304793.64920764655,87510.3153548255,203546.03620969018,13737.297643130867
141364.61166225054,111855.85226418177,0.0,29508.759398068763
391468.82481433084,146517.6898336455,244951.13498068534,0.0
84810.07935857981,84810.07935857981,0.0,0.0
121343.28841571962,121343.28841571962,0.0,0.0
101685.16107767317,101685.16107767317,0.0,0.0
116213.93937601695,116213.93937601695,0.0,0.0
297219.61246360745,101049.42049271829,196170.19197088914,0.0
95972.96339134798,95972.96339134798,0.0,0.0
70424.113741652,70424.113741652,0.0,0.0
98394.29029075056,98394.29029075056,0.0,0.0
